IMMUNOSUPPRESSIVE_CYTOKINE_PATHWAYS	NK_INHIBITING_RECEPTORS	IMMUNOSUPPPRESSIVE_CORE_PATHWAYS	TUMOR_GROWTH	RECRUITMENT_OF_IMMUNE_CELLS	IMMUNOSUPPRESSIVE_CYTOKINE_EXPRESSION	NO_ROS_PRODUCTION	NK_ACTIVATING_RECEPTORS	FC_RECEPTORS	IMMUNOSUPPRESSIVE_CHEKPOINTS	EXOCYTOSIS_AND_PHAGOCYTOSIS	IMMUNOSTIMULATORY_CHEKPOINTS	ANTIGEN_PRESENTATION	IMMUNOSTIMULATORY_CYTOKINE_PATHWAYS	INTEGRINS	MIRNA_TF_IMMUNOSTIMULATORY	DANGER_SIGNAL_PATHWAYS	MIRNA_TF_IMMUNOSUPPRESSIVE	IMMUNOSTIMULATORY_CYTOKINE_EXPRESSION	IMMUNOSTIMULATORY_CORE_PATHWAYS
												PSMA7	TRAF3						RPTOR
												PSMA8	TYK2						SHC1
												PSMB1							INPP5D
												PSMB2							SOS1
												PSMB3							SOS2
												PSMB4							SYK
												PSMB5							TAB2
												PSMB6							TAB3
												PSMB7							TNIP2
												PSMB8							TNIP3
												PSMB9							TRAF6
												PSMB10							TSC1
												PSMC1							TSC2
												PSMC2							VAV1
												PSMC3							VAV2
												PSMC4							VAV3
												PSMC5							REL
												PSMC6							NFKB2
												PSMD1							PIK3CA
												PSMD2							PIK3CB
												PSMD3							PIK3CD
												PSMD4							PIK3CG
												PSMD5							MAPK11
												PSMD6							MAPK12
												PSMD7							MAPK13
												PSMD8							MAPK14
												PSMD9							
												PSMD10							
												PSMD11							
												PSMD12							
												PSMD13							
												PSMD14							
												PSME1							
												PSME2							
												PSME3							
												PSME4							
												PSMF1							
